"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"54","RT @KeyNode: The journey from Reporting to #AI-enabled #BusinessIntelligence is a multi-step process &gt;&gt;&gt; EckersonGr… https://t.co/HZ1nGR5bw9",FALSE,0,NA,2019-09-23 13:09:50,TRUE,NA,"1176121495061520384",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","machine_ml",0,FALSE,FALSE,NA,NA
"55","RT @iamjony94: How to learn SEO: a guide for newbies https://t.co/pUjDXQtbmz #socialmedia #socialmediamarketing #digitalmarketing #contentm…",FALSE,0,NA,2019-09-23 13:09:41,FALSE,NA,"1176121456276705280",NA,"<a href=""http://www.ssmcd.com"" rel=""nofollow"">SSMCD BOT1</a>","SSMCDUNINSUBRIA",3,TRUE,FALSE,NA,NA
"56","RT @ingliguori: Join me today in the upcoming Straight Talk Tweet Chat ""Eyes of #AI: Making Sensors Intelligent through #EdgeComputing""
Tod…",FALSE,0,NA,2019-09-23 13:09:35,FALSE,NA,"1176121432159375360",NA,"<a href=""http://www.blox.io"" rel=""nofollow"">ajsontestapp</a>","databytz",2,TRUE,FALSE,NA,NA
"57","RT @ipfconline1: CNNs, Part 1: An Introduction to Convolutional Neural Networks
A simple guide to what CNNs are, how they work &amp; how to bui…",FALSE,0,NA,2019-09-23 13:09:27,FALSE,NA,"1176121401071112193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tianxuetao",10,TRUE,FALSE,NA,NA
"58","RT @KirkDBorne: Download this eBook (47-page PDF) — The #Mathematics needed for an introductory class in #MachineLearning: https://t.co/gna…",FALSE,0,NA,2019-09-23 13:09:25,FALSE,NA,"1176121392867053572",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sahibabioinfo",221,TRUE,FALSE,NA,NA
"59","RT @KirkDBorne: This 10-page [PDF] reference covers a semester's worth of introductory probability —<U+2B50><U+FE0F>The best #Probability Cheat Sheet tha…",FALSE,0,NA,2019-09-23 13:09:25,FALSE,NA,"1176121390413467649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edwsonoma",176,TRUE,FALSE,NA,NA
"60","RT @NeptuneML: #Resource

Great tutorial on #MachineLearning model fairness:
https://t.co/01flTr92CW

#DataScience",FALSE,0,NA,2019-09-23 13:09:14,FALSE,NA,"1176121342611075073",NA,"<a href=""https://curiousluke.com"" rel=""nofollow"">RTML</a>","TheCuriousLuke",1,TRUE,FALSE,NA,NA
"61","4 Different Approaches for Kubernetes in the Enterprise #ArtificialIntelligence #datascience #ai via… https://t.co/MhL11POgFr",FALSE,0,NA,2019-09-23 13:09:03,TRUE,NA,"1176121299975966721",NA,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>","SMTelecommunic1",0,FALSE,FALSE,NA,NA
"62","#Resource

Great tutorial on #MachineLearning model fairness:
https://t.co/01flTr92CW

#DataScience",FALSE,0,NA,2019-09-23 13:08:50,FALSE,NA,"1176121243868835842",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","NeptuneML",1,FALSE,FALSE,NA,NA
"63","RT @Ronald_vanLoon: The Mathematics of #MachineLearning
 by @granvilledsc @DataScienceCtrl |

Read more here: https://t.co/tlMgNVAbkK

 #De…",FALSE,0,NA,2019-09-23 13:08:49,FALSE,NA,"1176121241863933953",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alannanoellelaz",14,TRUE,FALSE,NA,NA
