"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 16:52:02,FALSE,NA,"1175452637011091456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Indianyoutubefc",2151,TRUE,FALSE,NA,NA
"William and Kate only told The Queen about their engagementhours before it was made public RoyalFact RoyalWedding",FALSE,0,NA,2019-09-21 16:29:49,FALSE,NA,"1175447046758785024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MehmetOgutlu2",5,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 16:21:01,FALSE,NA,"1175444834485710849",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MaddyRupalti",2151,TRUE,FALSE,NA,NA
"Meghan Markles wedding veil revealed this about her role in the Royal Family expert says
RoyalWedding",FALSE,4,NA,2019-09-21 16:19:00,TRUE,NA,"1175444324198363136",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Daily_Express",1,FALSE,FALSE,NA,NA
"Meghan Markles wedding veil revealed this about her role in the Royal Family expert says
RoyalWedding",FALSE,3,NA,2019-09-21 15:59:02,TRUE,NA,"1175439299698921473",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Daily_Express",1,FALSE,FALSE,NA,NA
"Hashtags on Twitter can also be used to join in with broader conversations around big events like the RoyalWedding",FALSE,0,NA,2019-09-21 15:34:38,TRUE,NA,"1175433159019782145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Winchcombe_WDYT",0,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 15:29:54,FALSE,NA,"1175431967812345857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vrushu66",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 15:19:02,FALSE,NA,"1175429233222438913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saadshake",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 15:18:06,FALSE,NA,"1175429000690167808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saaisutar",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 14:37:07,FALSE,NA,"1175418684862394368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayeshAdvani5",1376,TRUE,FALSE,NA,NA
"Lets take a moment to honor this beautiful strong woman Meghan Markles Mother Doria Ragland who sat alone a million mi",FALSE,0,NA,2019-09-21 14:35:45,FALSE,NA,"1175418343005794305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HRHXavier",59029,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 14:35:24,FALSE,NA,"1175418251691446272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayeshAdvani5",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 14:26:02,FALSE,NA,"1175415896145162240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adityasukale_in",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 14:24:25,FALSE,NA,"1175415490069458946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yash_takodara",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 14:23:41,FALSE,NA,"1175415303976566784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vibhanshul",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 14:12:54,FALSE,NA,"1175412592413511680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SayantanMark50",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 13:55:44,FALSE,NA,"1175408269436674048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KamathSwapna",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 13:10:31,FALSE,NA,"1175396890302504960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SabseHarami",1376,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 12:50:22,FALSE,NA,"1175391822807363591",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_harishchhetri",2151,TRUE,FALSE,NA,NA
"When everyone is engrossed in the royalwedding but you just want to go home and watch Ben",FALSE,0,NA,2019-09-21 12:49:25,FALSE,NA,"1175391581471424512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kwabran_",1954,TRUE,FALSE,NA,NA
"Disney predicted this RoyalWedding long time ago",FALSE,0,NA,2019-09-21 12:49:16,FALSE,NA,"1175391544263827456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kwabran_",1548,TRUE,FALSE,NA,NA
"Did not expect this at all RoyalWedding",FALSE,0,NA,2019-09-21 12:28:16,FALSE,NA,"1175386260854190080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imajinasong",25296,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 12:24:59,FALSE,NA,"1175385433779228672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","abhaykr_4",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 12:20:08,FALSE,NA,"1175384210992795648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arif9628",2151,TRUE,FALSE,NA,NA
